Iceberg,Length (NM),Width (NM),Latitude,Longitude,Area (sqMI),Area (sqNM),Area (sqKM),Last Update
A76C,16,7,-53.94,-26.43,112.44,84.90,291.21,09/10/2026
A81,28,25,-57.36,-47.22,518.07,391.20,1341.79,09/10/2026
A83,12,7,-61.07,-50.61,73.29,55.34,189.82,09/10/2026
A84,12,6,-71.19,-101.65,69.88,52.77,181.00,09/10/2026
A85,10,3,-61.72,-53.02,24.18,18.26,62.62,09/10/2026
B09B,27,10,-66.07,143.15,196.50,148.38,508.94,09/10/2026
B09G,12,7,-68.18,41.5,61.80,46.66,160.06,09/10/2026
B22A,29,25,-69.88,164.79,549.47,414.92,1423.13,09/10/2026
B22F,14,7,-67.42,-176.55,87.42,66.01,226.42,09/10/2026
B22H,8,6,-70.21,163.7,29.14,22.00,75.47,09/10/2026
B51,15,3,-74.25,-131.68,30.50,23.03,79.00,09/10/2026
C15,14,10,-65.84,143.02,82.44,62.25,213.53,09/10/2026
C18B,10,4,-67.0,47.36,42.63,32.19,110.40,09/10/2026
C18C,10,2,-68.47,39.07,20.49,15.47,53.07,09/10/2026
C21B,12,8,-64.98,95.83,99.99,75.50,258.97,09/10/2026
C24,11,3,-64.84,96.02,22.35,16.87,57.88,09/10/2026
C30,9,3,-64.78,96.27,28.98,21.89,75.06,09/10/2026
C31,9,3,-64.68,96.49,28.21,21.30,73.07,09/10/2026
C36,23,16,-67.46,146.48,327.46,247.28,848.13,09/10/2026
C39,8,3,-65.72,56.28,20.13,15.20,52.13,09/10/2026
D15A,51,22,-66.63,81.92,1172.77,885.59,3037.47,09/10/2026
D15B,20,12,-67.02,81.58,235.72,178.00,610.52,09/10/2026
D15C,14,7,-67.22,79.41,44.64,33.71,115.62,09/10/2026
D15D,8,6,-67.29,79.3,21.58,16.30,55.89,09/10/2026
D23,7,6,-69.44,74.71,40.77,30.79,105.60,09/10/2026
D32,9,6,-57.96,-39.14,41.08,31.02,106.39,09/10/2026
D33A,19,10,-64.0,-55.59,172.22,130.04,446.04,09/10/2026
D33B,21,12,-58.69,-50.29,123.81,93.49,320.68,09/10/2026
D33C,9,5,-61.64,-53.92,31.55,23.82,81.72,09/10/2026
D33D,15,6,-63.57,-55.14,79.41,59.96,205.66,09/10/2026
D34,11,8,-67.16,82.06,64.02,48.34,165.80,09/10/2026
D35,15,6,-60.35,-44.98,83.45,63.01,216.13,09/10/2026
D37,30,7,-69.21,36.36,184.47,139.29,477.77,09/10/2026
